"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|HU","Actual Total Load [MW] - BZN|HU"
"04.01.2021 19:15 - 04.01.2021 19:30","5580","5772"
"04.01.2021 19:30 - 04.01.2021 19:45","5545","5735"
"04.01.2021 19:45 - 04.01.2021 20:00","5487","5699"
"04.01.2021 20:00 - 04.01.2021 20:15","5448","5625"
"04.01.2021 20:15 - 04.01.2021 20:30","5406","5558"
"04.01.2021 20:30 - 04.01.2021 20:45","5394","5535"
"04.01.2021 20:45 - 04.01.2021 21:00","5343","5473"
"04.01.2021 21:00 - 04.01.2021 21:15","5314","5422"
"04.01.2021 21:15 - 04.01.2021 21:30","5291","5410"
"04.01.2021 21:30 - 04.01.2021 21:45","5202","5331"
"04.01.2021 21:45 - 04.01.2021 22:00","5102","5234"
"04.01.2021 22:00 - 04.01.2021 22:15","5031","5170"
"04.01.2021 22:15 - 04.01.2021 22:30","4986","5166"
"04.01.2021 22:30 - 04.01.2021 22:45","4949","5151"
"04.01.2021 22:45 - 04.01.2021 23:00","4887","5089"
"04.01.2021 23:00 - 04.01.2021 23:15","4808","5019"
"04.01.2021 23:15 - 04.01.2021 23:30","4703","4920"
"04.01.2021 23:30 - 04.01.2021 23:45","4649","4913"
"04.01.2021 23:45 - 05.01.2021 00:00","4572","4855"
"05.01.2021 00:00 - 05.01.2021 00:15","4532","4707"
"05.01.2021 00:15 - 05.01.2021 00:30","4452","4633"
"05.01.2021 00:30 - 05.01.2021 00:45","4376","4596"
"05.01.2021 00:45 - 05.01.2021 01:00","4396","4515"
"05.01.2021 01:00 - 05.01.2021 01:15","4389","4468"
"05.01.2021 01:15 - 05.01.2021 01:30","4315","4434"
"05.01.2021 01:30 - 05.01.2021 01:45","4247","4398"
"05.01.2021 01:45 - 05.01.2021 02:00","4216","4327"
"05.01.2021 02:00 - 05.01.2021 02:15","4126","4260"
"05.01.2021 02:15 - 05.01.2021 02:30","4050","4225"
"05.01.2021 02:30 - 05.01.2021 02:45","3989","4194"
"05.01.2021 02:45 - 05.01.2021 03:00","3936","4174"
"05.01.2021 03:00 - 05.01.2021 03:15","3905","4171"
"05.01.2021 03:15 - 05.01.2021 03:30","3897","4140"
"05.01.2021 03:30 - 05.01.2021 03:45","3893","4134"
"05.01.2021 03:45 - 05.01.2021 04:00","3894","4128"
"05.01.2021 04:00 - 05.01.2021 04:15","3928","4174"
"05.01.2021 04:15 - 05.01.2021 04:30","3972","4210"
"05.01.2021 04:30 - 05.01.2021 04:45","4009","4251"
"05.01.2021 04:45 - 05.01.2021 05:00","4098","4330"
"05.01.2021 05:00 - 05.01.2021 05:15","4222","4440"
"05.01.2021 05:15 - 05.01.2021 05:30","4354","4512"
"05.01.2021 05:30 - 05.01.2021 05:45","4477","4613"
"05.01.2021 05:45 - 05.01.2021 06:00","4634","4720"
"05.01.2021 06:00 - 05.01.2021 06:15","4889","5012"
"05.01.2021 06:15 - 05.01.2021 06:30","5158","5221"
"05.01.2021 06:30 - 05.01.2021 06:45","5314","5355"
"05.01.2021 06:45 - 05.01.2021 07:00","5445","5460"
"05.01.2021 07:00 - 05.01.2021 07:15","5518","5606"
"05.01.2021 07:15 - 05.01.2021 07:30","5497","5634"
"05.01.2021 07:30 - 05.01.2021 07:45","5532","5665"
"05.01.2021 07:45 - 05.01.2021 08:00","5527","5688"
"05.01.2021 08:00 - 05.01.2021 08:15","5555","5728"
"05.01.2021 08:15 - 05.01.2021 08:30","5588","5788"
"05.01.2021 08:30 - 05.01.2021 08:45","5617","5826"
"05.01.2021 08:45 - 05.01.2021 09:00","5622","5875"
"05.01.2021 09:00 - 05.01.2021 09:15","5642","5915"
"05.01.2021 09:15 - 05.01.2021 09:30","5652","5931"
"05.01.2021 09:30 - 05.01.2021 09:45","5667","5945"
"05.01.2021 09:45 - 05.01.2021 10:00","5678","5940"
"05.01.2021 10:00 - 05.01.2021 10:15","5664","5943"
"05.01.2021 10:15 - 05.01.2021 10:30","5683","5973"
"05.01.2021 10:30 - 05.01.2021 10:45","5683","6010"
"05.01.2021 10:45 - 05.01.2021 11:00","5680","6015"
