"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - BZN|DE-LU","Actual Total Load [MW] - BZN|DE-LU"
"03.01.2021 21:15 - 03.01.2021 21:30","48629","54155"
"03.01.2021 21:30 - 03.01.2021 21:45","48046","53853"
"03.01.2021 21:45 - 03.01.2021 22:00","48370","53673"
"03.01.2021 22:00 - 03.01.2021 22:15","48991","54000"
"03.01.2021 22:15 - 03.01.2021 22:30","48585","53670"
"03.01.2021 22:30 - 03.01.2021 22:45","48016","52776"
"03.01.2021 22:45 - 03.01.2021 23:00","47118","51953"
"03.01.2021 23:00 - 03.01.2021 23:15","46511","51787"
"03.01.2021 23:15 - 03.01.2021 23:30","45796","51065"
"03.01.2021 23:30 - 03.01.2021 23:45","44965","50174"
"03.01.2021 23:45 - 04.01.2021 00:00","44460","49589"
"04.01.2021 00:00 - 04.01.2021 00:15","44784","48852"
"04.01.2021 00:15 - 04.01.2021 00:30","43981","48379"
"04.01.2021 00:30 - 04.01.2021 00:45","43645","47851"
"04.01.2021 00:45 - 04.01.2021 01:00","43168","47462"
"04.01.2021 01:00 - 04.01.2021 01:15","42447","46880"
"04.01.2021 01:15 - 04.01.2021 01:30","41903","46443"
"04.01.2021 01:30 - 04.01.2021 01:45","41738","46353"
"04.01.2021 01:45 - 04.01.2021 02:00","41332","46164"
"04.01.2021 02:00 - 04.01.2021 02:15","41213","46288"
"04.01.2021 02:15 - 04.01.2021 02:30","41157","46242"
"04.01.2021 02:30 - 04.01.2021 02:45","41108","46246"
"04.01.2021 02:45 - 04.01.2021 03:00","40995","46212"
"04.01.2021 03:00 - 04.01.2021 03:15","41016","46139"
"04.01.2021 03:15 - 04.01.2021 03:30","41477","46169"
"04.01.2021 03:30 - 04.01.2021 03:45","41261","46244"
"04.01.2021 03:45 - 04.01.2021 04:00","41597","46404"
"04.01.2021 04:00 - 04.01.2021 04:15","42245","46915"
"04.01.2021 04:15 - 04.01.2021 04:30","42620","47178"
"04.01.2021 04:30 - 04.01.2021 04:45","42932","47696"
"04.01.2021 04:45 - 04.01.2021 05:00","43239","48121"
"04.01.2021 05:00 - 04.01.2021 05:15","43692","48940"
"04.01.2021 05:15 - 04.01.2021 05:30","44305","49539"
"04.01.2021 05:30 - 04.01.2021 05:45","44979","50392"
"04.01.2021 05:45 - 04.01.2021 06:00","45743","51504"
"04.01.2021 06:00 - 04.01.2021 06:15","47311","53476"
"04.01.2021 06:15 - 04.01.2021 06:30","48889","54985"
"04.01.2021 06:30 - 04.01.2021 06:45","49781","56468"
"04.01.2021 06:45 - 04.01.2021 07:00","50679","58137"
"04.01.2021 07:00 - 04.01.2021 07:15","51766","60640"
"04.01.2021 07:15 - 04.01.2021 07:30","52975","61660"
"04.01.2021 07:30 - 04.01.2021 07:45","54282","62600"
"04.01.2021 07:45 - 04.01.2021 08:00","55182","63441"
"04.01.2021 08:00 - 04.01.2021 08:15","56543","64831"
"04.01.2021 08:15 - 04.01.2021 08:30","57440","65424"
"04.01.2021 08:30 - 04.01.2021 08:45","57669","65994"
"04.01.2021 08:45 - 04.01.2021 09:00","58106","66694"
"04.01.2021 09:00 - 04.01.2021 09:15","58533","67151"
"04.01.2021 09:15 - 04.01.2021 09:30","59210","67605"
